xcentre,ycentre,zcentre,cut,zmin,oretype_pnd,meses,cus,mot,zmint,oretypet,dens,CAT,CATN,FASE
4000,9570,2592.5,0.87,8,45,sept-14,0.08,0.0301,SSF,SCHAL,2.6,MED,1,19
3980,9590,2592.5,0.95,8,45,sept-14,0.07,0.0266,SSF,SCHAL,2.6,MED,1,34
4000,9590,2592.5,1.02145833,8,45,sept-14,0.069375,0.0275,SSF,SCHAL,2.6,MED,1,42
4020,9570,2577.5,0.9875,8,45,oct-14,0.08375,0.0326,SSF,SCHAL,2.6,MED,1,42
4020,9570,2592.5,0.66,8,45,sept-14,0.06,0.031,SSF,SCHAL,2.6,IND,2,19N
4040,9570,2592.5,0.69083333,8,45,sept-14,0.06041667,0.017,SSF,SCHAL,2.6,MED,1,34
4020,9590,2592.5,0.73,7,45,sept-14,0.05875,0.0276,SSD,SCHAL,2.6,INF,3,19N
4040,9590,2592.5,0.565625,7,45,sept-14,0.031875,0.0167,SSD,SCHAL,2.6,INF,3,19N
4060,9570,2592.5,0.53,61,45,sept-14,0.0325,0.021,CPY,SCHAL,2.6,MED,1,42
4080,9570,2592.5,0.45625,61,45,sept-14,0.0225,0.011,CPY,SCHAL,2.6,IND,2,42
4060,9590,2592.5,0.43,61,44,sept-14,0.02,0.0214,CPY,SCHBL,2.6,INF,3,19N
3940,9610,2577.5,0.46166667,62,42,oct-14,0.02916667,0.0146,BO,SAARC,2.6,MED,1,42
3960,9610,2577.5,0.64958333,61,42,oct-14,0.03354167,0.0247,CPY,SAARC,2.6,MED,1,19
3960,9630,2577.5,0.5925,61,42,oct-14,0.02416667,0.0347,CPY,SAARC,2.6,MED,1,34
3940,9610,2592.5,0.50166667,62,42,sept-14,0.0275,0.0095,BO,SAARC,2.6,IND,2,19N
3960,9610,2592.5,0.900625,8,42,sept-14,0.05291667,0.0215,SSF,SAARC,2.6,MED,1,19
3960,9630,2592.5,0.570625,7,45,sept-14,0.03020833,0.0198,SSD,SCHAL,2.6,MED,1,34
3980,9610,2577.5,0.71166667,7,45,oct-14,0.03666667,0.0281,SSD,SCHAL,2.6,INF,3,19N
4000,9610,2577.5,0.714375,7,45,oct-14,0.04083333,0.0144,SSD,SCHAL,2.6,MED,1,34
3980,9630,2577.5,0.61333333,7,45,oct-14,0.02833333,0.0262,SSD,SCHAL,2.6,MED,1,34
4000,9630,2577.5,0.649375,7,45,oct-14,0.03958333,0.013,SSD,SCHAL,2.6,IND,2,19N
3980,9610,2592.5,0.84041667,8,45,sept-14,0.05166667,0.0227,SSF,SCHAL,2.6,INF,3,19N
4000,9610,2592.5,0.73,7,45,sept-14,0.055,0.0256,SSD,SCHAL,2.6,INF,3,19N
3980,9630,2592.5,0.73,7,45,sept-14,0.03,0.0196,SSD,SCHAL,2.6,MED,1,19
4000,9630,2592.5,0.7,7,45,sept-14,0.04,0.0218,SSD,SCHAL,2.6,MED,1,42
4020,9610,2592.5,0.58,7,45,sept-14,0.03,0.0251,SSD,SCHAL,2.6,MED,1,19
4040,9610,2592.5,0.55,7,45,sept-14,0.035,0.0149,SSD,SCHAL,2.6,IND,2,19N
3960,9650,2592.5,0.62270833,62,45,sept-14,0.03541667,0.0148,BO,SCHAL,2.6,MED,1,34
3980,9650,2577.5,0.61416667,61,45,oct-14,0.02958333,0.0202,CPY,SCHAL,2.6,IND,2,42
3980,9650,2592.5,0.73,7,45,sept-14,0.04,0.0191,SSD,SCHAL,2.6,MED,1,19
4000,9650,2592.5,0.62083333,7,45,sept-14,0.03541667,0.0203,SSD,SCHAL,2.6,MED,1,34
3980,9670,2592.5,0.57083333,7,45,sept-14,0.03833333,0.0164,SSD,SCHAL,2.6,INF,3,19N
4060,9350,2622.5,0.38,7,44,dic-15,0.03,0.015,SSD,SCHBL,2.6,IND,2,19N
4080,9350,2622.5,0.35,7,44,nov-15,0.02,0.0102,SSD,SCHBL,2.6,INF,3,19N
4100,9350,2607.5,0.44,7,42,dic-15,0.04,0.0025,SSD,SAARC,2.6,MED,1,34
4120,9350,2607.5,0.503125,7,45,dic-15,0.045625,0.0144,SSD,SCHAL,2.6,MED,1,34
4100,9330,2622.5,0.34,7,44,dic-15,0.03,0.0025,SSD,SCHBL,2.6,MED,1,19
4120,9330,2622.5,0.4625,7,45,nov-15,0.03666667,0.0033,SSD,SCHAL,2.6,MED,1,34
4100,9350,2622.5,0.26,7,41,nov-15,0.02,0.0025,SSD,SBL,2.6,MED,1,34
4120,9350,2622.5,0.51375,7,45,nov-15,0.0475,0.0105,SSD,SCHAL,2.6,MED,1,42
4160,9330,2607.5,0.39,61,44,dic-15,0.01625,0.0166,CPY,SCHBL,2.6,MED,1,34
4140,9350,2607.5,0.62,8,45,dic-15,0.05,0.0117,SSF,SCHAL,2.6,IND,2,19N
4160,9350,2607.5,0.895625,8,45,dic-15,0.093125,0.0153,SSF,SCHAL,2.6,MED,1,42
4140,9330,2622.5,0.65041667,8,45,nov-15,0.04916667,0.0132,SSF,SCHAL,2.6,MED,1,42
4160,9330,2622.5,0.579375,61,45,nov-15,0.048125,0.0161,CPY,SCHAL,2.6,IND,2,19N
4140,9350,2622.5,0.79,8,45,nov-15,0.06,0.0129,SSF,SCHAL,2.6,IND,2,19N
4160,9350,2622.5,1.04,8,45,nov-15,0.11,0.0136,SSF,SCHAL,2.6,MED,1,42
4180,9330,2607.5,0.36,61,44,dic-15,0.02,0.0204,CPY,SCHBL,2.6,MED,1,34
4180,9350,2607.5,0.426875,61,44,dic-15,0.03416667,0.018,CPY,SCHBL,2.6,MED,1,34
4180,9330,2622.5,0.34,61,44,dic-15,0.01,0.0195,CPY,SCHBL,2.6,MED,1,19
4200,9330,2622.5,0.41916667,61,44,dic-15,0.02583333,0.0025,CPY,SCHBL,2.6,MED,1,42
4180,9350,2622.5,0.721875,61,45,nov-15,0.06875,0.0189,CPY,SCHAL,2.6,INF,3,19N
4200,9350,2622.5,0.76458333,8,42,dic-15,0.04708333,0.0021,SSF,SAARC,2.6,MED,1,34
4040,9390,2622.5,1.26,8,45,nov-15,0.14,0.0316,SSF,SCHAL,2.6,MED,1,34
4080,9370,2607.5,0.46,7,42,dic-15,0.03,0.0022,SSD,SAARC,2.6,MED,1,34
