xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
3980.00000000,9590.00000000,2592.50000000,0.50824600,-99,45,0.04068400,0.00788000
4000.00000000,9590.00000000,2592.50000000,0.84523900,-99,45,0.07304500,0.01787400
4020.00000000,9570.00000000,2577.50000000,1.25840300,-99,45,0.13442700,0.01237400
4020.00000000,9570.00000000,2592.50000000,1.15671400,-99,45,0.09404600,0.04625500
4040.00000000,9570.00000000,2592.50000000,0.74585400,-99,45,0.05223600,0.02474300
4020.00000000,9590.00000000,2592.50000000,1.32364700,-99,45,0.09576700,0.13479500
4040.00000000,9590.00000000,2592.50000000,0.58372500,-99,45,0.03757100,0.02718100
4060.00000000,9570.00000000,2592.50000000,0.63696400,-99,45,0.03714900,0.00374200
4080.00000000,9570.00000000,2592.50000000,0.68684200,-99,45,0.04836900,0.00209300
4060.00000000,9590.00000000,2592.50000000,0.62658500,-99,45,0.03830100,0.00491500
3940.00000000,9610.00000000,2577.50000000,0.83314400,-99,42,0.07725000,0.08218300
3960.00000000,9610.00000000,2577.50000000,0.92943500,-99,42,0.07565100,0.02881600
3960.00000000,9630.00000000,2577.50000000,0.58466100,-99,42,0.06367900,0.06934600
3940.00000000,9610.00000000,2592.50000000,0.86724700,-99,42,0.05842200,0.01802100
3960.00000000,9610.00000000,2592.50000000,0.94156300,-99,42,0.07219300,0.02498300
3960.00000000,9630.00000000,2592.50000000,0.76148600,-99,42,0.04724200,0.03475700
3980.00000000,9610.00000000,2577.50000000,0.59877800,-99,45,0.05352100,0.01305700
4000.00000000,9610.00000000,2577.50000000,0.58884800,-99,45,0.05791200,0.00641100
3980.00000000,9630.00000000,2577.50000000,0.57017600,-99,45,0.04974800,0.01931300
4000.00000000,9630.00000000,2577.50000000,0.55793000,-99,45,0.05389900,0.01230500
3980.00000000,9610.00000000,2592.50000000,0.58615500,-99,45,0.04812900,0.00690600
4000.00000000,9610.00000000,2592.50000000,0.59780700,-99,45,0.04661100,0.01082600
3980.00000000,9630.00000000,2592.50000000,0.67453800,-99,45,0.05025700,0.01839700
4000.00000000,9630.00000000,2592.50000000,0.47613600,-99,45,0.03421900,0.01039300
4020.00000000,9610.00000000,2592.50000000,1.24150300,-99,45,0.07762800,0.05529000
4040.00000000,9610.00000000,2592.50000000,0.45935200,-99,45,0.02545600,0.00309200
3960.00000000,9650.00000000,2592.50000000,0.62924600,-99,45,0.04107500,0.02036700
3980.00000000,9650.00000000,2577.50000000,0.58095100,-99,45,0.04391200,0.02154400
3980.00000000,9650.00000000,2592.50000000,0.65493300,-99,45,0.04108800,0.02232700
4000.00000000,9650.00000000,2592.50000000,0.44127700,-99,44,0.03984400,0.01948900
3980.00000000,9670.00000000,2592.50000000,0.66723100,-99,45,0.04900100,0.01413400
4060.00000000,9350.00000000,2622.50000000,0.60550500,8,45,0.04310400,0.00996600
4080.00000000,9350.00000000,2622.50000000,0.49448800,6,45,0.03233600,0.01294000
4100.00000000,9350.00000000,2607.50000000,0.33423500,8,43,0.06324200,0.02037700
4120.00000000,9350.00000000,2607.50000000,0.38872200,7,44,0.03174100,0.01784200
4100.00000000,9330.00000000,2622.50000000,0.47223900,6,45,0.03034500,0.01138300
4120.00000000,9330.00000000,2622.50000000,0.51736200,7,45,0.03840500,0.01536100
4100.00000000,9350.00000000,2622.50000000,0.55532800,6,45,0.04195900,0.01365000
4120.00000000,9350.00000000,2622.50000000,0.54616300,7,45,0.02910400,0.02650200
4160.00000000,9330.00000000,2607.50000000,0.51236300,6,45,0.01661500,0.05693700
4140.00000000,9350.00000000,2607.50000000,0.55067200,8,45,0.03490100,0.02469100
4160.00000000,9350.00000000,2607.50000000,0.66580600,6,45,0.03316300,0.03058800
4140.00000000,9330.00000000,2622.50000000,0.47522700,6,45,0.04360700,0.01797700
4160.00000000,9330.00000000,2622.50000000,0.46987700,6,45,0.02517800,0.03267700
4140.00000000,9350.00000000,2622.50000000,0.53714200,7,45,0.03141200,0.02246500
4160.00000000,9350.00000000,2622.50000000,0.54706700,7,45,0.03611900,0.01070100
4180.00000000,9330.00000000,2607.50000000,0.27621200,6,41,0.00979000,0.00734300
4180.00000000,9350.00000000,2607.50000000,0.31010800,6,44,0.01301900,0.00386300
4180.00000000,9330.00000000,2622.50000000,0.33148900,6,44,0.01935100,0.00921500
4200.00000000,9330.00000000,2622.50000000,0.28158600,6,41,0.02151900,0.00281700
4180.00000000,9350.00000000,2622.50000000,0.55633300,6,45,0.03866800,0.00726900
4200.00000000,9350.00000000,2622.50000000,0.33925200,6,44,0.01672200,0.00225100
4040.00000000,9390.00000000,2622.50000000,1.12993600,8,45,0.09449900,0.03199100
4080.00000000,9370.00000000,2607.50000000,0.40660100,7,44,0.02805700,0.01621000
4060.00000000,9390.00000000,2607.50000000,0.74391100,8,45,0.06703100,0.01351300
4080.00000000,9390.00000000,2607.50000000,0.44058400,7,44,0.03421500,0.01197800
4060.00000000,9370.00000000,2622.50000000,0.53637300,8,45,0.04285400,0.00732400
4080.00000000,9370.00000000,2622.50000000,0.49821700,6,45,0.03514200,0.00838600
4060.00000000,9390.00000000,2622.50000000,0.90653000,8,45,0.08244100,0.01642400
4080.00000000,9390.00000000,2622.50000000,0.55062400,7,45,0.04450300,0.01279200
4100.00000000,9370.00000000,2607.50000000,0.39625400,7,44,0.02735800,0.00823100
4120.00000000,9370.00000000,2607.50000000,0.40188300,7,44,0.03187700,0.02568600
4100.00000000,9390.00000000,2607.50000000,0.48059200,7,45,0.04508000,0.01109400
4120.00000000,9390.00000000,2607.50000000,0.42039200,6,44,0.03573900,0.03504500
4100.00000000,9370.00000000,2622.50000000,0.43143300,6,44,0.02846700,0.01262700
4120.00000000,9370.00000000,2622.50000000,0.48297600,6,45,0.04706000,0.01711200
4100.00000000,9390.00000000,2622.50000000,0.48270500,6,45,0.03405400,0.01301700
4120.00000000,9390.00000000,2622.50000000,0.46024200,6,43,0.06660700,0.00948000
4140.00000000,9370.00000000,2607.50000000,0.50432200,7,45,0.04581300,0.01368400
4160.00000000,9370.00000000,2607.50000000,0.86516500,2,33,0.16856700,0.04081700
4140.00000000,9390.00000000,2607.50000000,0.56488700,6,45,0.04070200,0.00959700
4160.00000000,9390.00000000,2607.50000000,0.87751800,6,43,0.14897700,0.01219900
4140.00000000,9370.00000000,2622.50000000,0.47866000,7,43,0.07895500,0.01124500
4160.00000000,9370.00000000,2622.50000000,0.67610900,7,43,0.09673200,0.01482600
4140.00000000,9390.00000000,2622.50000000,0.39015000,7,43,0.14015200,0.00625500
4160.00000000,9390.00000000,2622.50000000,0.73921800,7,43,0.11830000,0.01207300
4180.00000000,9370.00000000,2607.50000000,0.56121600,2,33,0.10799100,0.01811200
4180.00000000,9390.00000000,2607.50000000,1.33878800,2,33,0.18848200,0.02794900
4180.00000000,9370.00000000,2622.50000000,0.75908100,6,43,0.14494600,0.03071800
4200.00000000,9370.00000000,2622.50000000,0.38249200,6,44,0.03355600,0.01783900
4180.00000000,9390.00000000,2622.50000000,0.85744800,2,33,0.12287200,0.01922000
4000.00000000,9410.00000000,2622.50000000,1.10344900,-99,45,0.10451700,0.02370000
3980.00000000,9430.00000000,2622.50000000,1.46480300,-99,42,0.13962200,0.03468500
4000.00000000,9430.00000000,2622.50000000,1.17681800,-99,42,0.11061900,0.04571900
4040.00000000,9430.00000000,2607.50000000,1.75188300,8,45,0.13512700,0.02056800
4040.00000000,9410.00000000,2622.50000000,1.12812200,8,45,0.09307500,0.04354100
4020.00000000,9430.00000000,2622.50000000,1.03565800,8,45,0.08974100,0.02396700
4040.00000000,9430.00000000,2622.50000000,1.13376100,8,45,0.10641500,0.02810800
4060.00000000,9410.00000000,2607.50000000,1.16245400,8,43,0.14183100,0.02325200
4080.00000000,9410.00000000,2607.50000000,0.66379200,7,45,0.06569200,0.01450600
4060.00000000,9430.00000000,2607.50000000,0.95925800,8,45,0.08204300,0.00813700
4080.00000000,9430.00000000,2607.50000000,0.91204700,8,45,0.08486900,0.01438100
4060.00000000,9410.00000000,2622.50000000,1.00368600,8,45,0.11760000,0.02325500
4080.00000000,9410.00000000,2622.50000000,0.62647500,7,45,0.06513700,0.01625100
4060.00000000,9430.00000000,2622.50000000,1.09946300,8,45,0.09354400,0.01853500
4080.00000000,9430.00000000,2622.50000000,0.71439100,8,45,0.08078300,0.01416300
4100.00000000,9410.00000000,2607.50000000,0.30341000,2,32,0.04481500,0.00855100
4120.00000000,9410.00000000,2607.50000000,0.41212800,2,33,0.04420000,0.01105000
4100.00000000,9430.00000000,2607.50000000,0.62239600,7,45,0.07366700,0.01581500
4120.00000000,9430.00000000,2607.50000000,0.39167700,7,44,0.04195100,0.01307600
4100.00000000,9410.00000000,2622.50000000,0.48099100,7,45,0.03344300,0.01413800
4120.00000000,9410.00000000,2622.50000000,0.41021600,6,43,0.09503500,0.01848500
4100.00000000,9430.00000000,2622.50000000,0.62488900,7,45,0.05020000,0.01291100
4120.00000000,9430.00000000,2622.50000000,0.37440700,6,44,0.03374000,0.00791400
4140.00000000,9410.00000000,2607.50000000,0.55673100,6,45,0.06675600,0.02792800
4160.00000000,9410.00000000,2607.50000000,0.51195200,6,45,0.04533700,0.01268600
4140.00000000,9430.00000000,2607.50000000,0.58299000,7,45,0.05226200,0.00731400
4160.00000000,9430.00000000,2607.50000000,0.48393500,8,45,0.03336900,0.01571000
4140.00000000,9410.00000000,2622.50000000,0.46247600,6,43,0.06673600,0.01140100
4160.00000000,9410.00000000,2622.50000000,0.49855400,6,45,0.05382100,0.00444000
4140.00000000,9430.00000000,2622.50000000,0.67979100,8,43,0.09714800,0.00902200
4160.00000000,9430.00000000,2622.50000000,0.59757800,8,45,0.05544700,0.00890600
4180.00000000,9410.00000000,2622.50000000,0.54191200,6,45,0.05767100,0.00787100
4180.00000000,9430.00000000,2622.50000000,0.69288300,7,45,0.04409200,0.01030000
3920.00000000,9470.00000000,2622.50000000,1.76465600,-99,45,0.09904900,0.02144900
3960.00000000,9450.00000000,2607.50000000,1.04104600,-99,45,0.10307600,0.05868600
3940.00000000,9470.00000000,2607.50000000,1.68059900,-99,45,0.11121000,0.02225400
3960.00000000,9470.00000000,2607.50000000,1.64155200,-99,45,0.10601900,0.05549300
3940.00000000,9450.00000000,2622.50000000,1.59751800,-99,45,0.09242400,0.03884000
3960.00000000,9450.00000000,2622.50000000,1.58650800,-99,42,0.10851000,0.04117600
3940.00000000,9470.00000000,2622.50000000,1.59567300,-99,45,0.09903200,0.03455400
3960.00000000,9470.00000000,2622.50000000,1.33983500,-99,45,0.09631900,0.02668800
3980.00000000,9450.00000000,2607.50000000,1.03548000,-99,45,0.11646700,0.04067700
4000.00000000,9450.00000000,2607.50000000,1.15216700,-99,45,0.13212300,0.02372400
3980.00000000,9470.00000000,2607.50000000,1.25348100,-99,45,0.09864200,0.04276700
4000.00000000,9470.00000000,2607.50000000,1.12502300,-99,45,0.08638400,0.03456000
3980.00000000,9450.00000000,2622.50000000,1.65078800,-99,42,0.14274800,0.03985300
4000.00000000,9450.00000000,2622.50000000,1.56219800,-99,42,0.16158500,0.04253900
3980.00000000,9470.00000000,2622.50000000,1.24228600,-99,45,0.10534400,0.04589100
4000.00000000,9470.00000000,2622.50000000,1.13691100,-99,45,0.12429200,0.05169600
4020.00000000,9450.00000000,2607.50000000,1.00179300,-99,45,0.08077300,0.02994300
4040.00000000,9450.00000000,2607.50000000,1.70360000,8,45,0.12858600,0.03065000
4020.00000000,9470.00000000,2607.50000000,1.02935300,-99,33,0.08687100,0.02488400
4040.00000000,9470.00000000,2607.50000000,1.22737500,8,45,0.10245400,0.02185100
4020.00000000,9450.00000000,2622.50000000,0.97732500,8,45,0.06880500,0.02346600
4040.00000000,9450.00000000,2622.50000000,1.12231400,8,45,0.10864100,0.02814800
4020.00000000,9470.00000000,2622.50000000,0.72442500,-99,45,0.07783300,0.03520300
4040.00000000,9470.00000000,2622.50000000,1.16725800,8,45,0.07927000,0.01818900
4060.00000000,9450.00000000,2607.50000000,0.89940600,8,45,0.08442500,0.00957900
4080.00000000,9450.00000000,2607.50000000,0.81969300,8,45,0.06561700,0.02083400
4060.00000000,9470.00000000,2607.50000000,1.10375500,8,45,0.10621900,0.01165000
4080.00000000,9470.00000000,2607.50000000,1.24074500,100,45,0.10283500,0.01628300
4060.00000000,9450.00000000,2622.50000000,1.24350000,8,45,0.12173200,0.01895600
4080.00000000,9450.00000000,2622.50000000,0.62115200,8,45,0.05341000,0.01173200
4060.00000000,9470.00000000,2622.50000000,1.50925800,8,45,0.13009400,0.02104700
4080.00000000,9470.00000000,2622.50000000,0.79360900,8,45,0.06586500,0.01110300
4100.00000000,9450.00000000,2607.50000000,0.57963700,7,45,0.03993300,0.01880100
4120.00000000,9450.00000000,2607.50000000,0.73492900,7,45,0.05200800,0.00684300
4100.00000000,9470.00000000,2607.50000000,0.64501000,7,45,0.05426000,0.00468600
4120.00000000,9470.00000000,2607.50000000,0.58221900,7,45,0.04537700,0.00532500
4100.00000000,9450.00000000,2622.50000000,0.59064600,100,45,0.05257900,0.00794500
4120.00000000,9450.00000000,2622.50000000,0.44555400,8,44,0.04997200,0.00822000
