xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4000.00000000,9630.00000000,2577.50000000,0.56,45,0.054,0.012,
3980.00000000,9610.00000000,2592.50000000,0.59,45,0.048,0.0069,
4000.00000000,9610.00000000,2592.50000000,0.60,45,0.047,0.011,
3980.00000000,9630.00000000,2592.50000000,0.67,45,0.050,0.018,
4000.00000000,9630.00000000,2592.50000000,0.48,45,0.034,0.010,
4020.00000000,9610.00000000,2592.50000000,1.2,45,0.078,0.055,
4040.00000000,9610.00000000,2592.50000000,0.46,45,0.025,0.0031,
3960.00000000,9650.00000000,2592.50000000,0.63,45,0.041,0.020,
3980.00000000,9650.00000000,2577.50000000,0.58,45,0.044,0.022,
3980.00000000,9650.00000000,2592.50000000,0.65,45,0.041,0.022,
4000.00000000,9650.00000000,2592.50000000,0.44,44,0.040,0.019,
3980.00000000,9670.00000000,2592.50000000,0.67,45,0.049,0.014,
4060.00000000,9350.00000000,2622.50000000,0.61,8.0,45,0.043,0.0100,
4080.00000000,9350.00000000,2622.50000000,0.49,6.0,45,0.032,0.013,
4100.00000000,9350.00000000,2607.50000000,0.33,8.0,43,0.063,0.020,
4120.00000000,9350.00000000,2607.50000000,0.39,7.0,44,0.032,0.018,
4100.00000000,9330.00000000,2622.50000000,0.47,6.0,45,0.030,0.011,
4120.00000000,9330.00000000,2622.50000000,0.52,7.0,45,0.038,0.015,
4100.00000000,9350.00000000,2622.50000000,0.56,6.0,45,0.042,0.014,
4120.00000000,9350.00000000,2622.50000000,0.55,7.0,45,0.029,0.027,
4160.00000000,9330.00000000,2607.50000000,0.51,6.0,45,0.017,0.057,
4140.00000000,9350.00000000,2607.50000000,0.55,8.0,45,0.035,0.025,
4160.00000000,9350.00000000,2607.50000000,0.67,6.0,45,0.033,0.031,
4140.00000000,9330.00000000,2622.50000000,0.48,6.0,45,0.044,0.018,
4160.00000000,9330.00000000,2622.50000000,0.47,6.0,45,0.025,0.033,
4140.00000000,9350.00000000,2622.50000000,0.54,7.0,45,0.031,0.022,
4160.00000000,9350.00000000,2622.50000000,0.55,7.0,45,0.036,0.011,
4180.00000000,9330.00000000,2607.50000000,0.28,6.0,41,0.0098,0.0073,
4180.00000000,9350.00000000,2607.50000000,0.31,6.0,44,0.013,0.0039,
4180.00000000,9330.00000000,2622.50000000,0.33,6.0,44,0.019,0.0092,
4200.00000000,9330.00000000,2622.50000000,0.28,6.0,41,0.022,0.0028,
4180.00000000,9350.00000000,2622.50000000,0.56,6.0,45,0.039,0.0073,
4200.00000000,9350.00000000,2622.50000000,0.34,6.0,44,0.017,0.0023,
4040.00000000,9390.00000000,2622.50000000,1.1,8.0,45,0.094,0.032,
4080.00000000,9370.00000000,2607.50000000,0.41,7.0,44,0.028,0.016,
4060.00000000,9390.00000000,2607.50000000,0.74,8.0,45,0.067,0.014,
4080.00000000,9390.00000000,2607.50000000,0.44,7.0,44,0.034,0.012,
4060.00000000,9370.00000000,2622.50000000,0.54,8.0,45,0.043,0.0073,
4080.00000000,9370.00000000,2622.50000000,0.50,6.0,45,0.035,0.0084,
