xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4140,9350,2622.5,0.537142,7,45,0.031412,0.022465,
4160,9350,2622.5,0.547067,7,45,0.036119,0.010701,
4180,9330,2607.5,0.276212,6,41,0.00979,0.007343,
4180,9350,2607.5,0.310108,6,44,0.013019,0.003863,
4180,9330,2622.5,0.331489,6,44,0.019351,0.009215,
4200,9330,2622.5,0.281586,6,41,0.021519,0.002817,
4180,9350,2622.5,0.556333,6,45,0.038668,0.007269,
4200,9350,2622.5,0.339252,6,44,0.016722,0.002251,
4040,9390,2622.5,1.12994,8,45,0.094499,0.031991,
4080,9370,2607.5,0.406601,7,44,0.028057,0.01621,
4060,9390,2607.5,0.743911,8,45,0.067031,0.013513,
4080,9390,2607.5,0.440584,7,44,0.034215,0.011978,
4060,9370,2622.5,0.536373,8,45,0.042854,0.007324,
4080,9370,2622.5,0.498217,6,45,0.035142,0.008386,
4060,9390,2622.5,0.90653,8,45,0.082441,0.016424,
4080,9390,2622.5,0.550624,7,45,0.044503,0.012792,
4100,9370,2607.5,0.396254,7,44,0.027358,0.008231,
4120,9370,2607.5,0.401883,7,44,0.031877,0.025686,
4100,9390,2607.5,0.480592,7,45,0.04508,0.011094,
4120,9390,2607.5,0.420392,6,44,0.035739,0.035045,
4100,9370,2622.5,0.431433,6,44,0.028467,0.012627,
4120,9370,2622.5,0.482976,6,45,0.04706,0.017112,
4100,9390,2622.5,0.482705,6,45,0.034054,0.013017,
4120,9390,2622.5,0.460242,6,43,0.066607,0.00948,
4140,9370,2607.5,0.504322,7,45,0.045813,0.013684,
4160,9370,2607.5,0.865165,2,33,0.168567,0.040817,
4140,9390,2607.5,0.564887,6,45,0.040702,0.009597,
4160,9390,2607.5,0.877518,6,43,0.148977,0.012199,
4140,9370,2622.5,0.47866,7,43,0.078955,0.011245,
4160,9370,2622.5,0.676109,7,43,0.096732,0.014826,
4140,9390,2622.5,0.39015,7,43,0.140152,0.006255,
4160,9390,2622.5,0.739218,7,43,0.1183,0.012073,
4180,9370,2607.5,0.561216,2,33,0.107991,0.018112,
4180,9390,2607.5,1.33879,2,33,0.188482,0.027949,
4180,9370,2622.5,0.759081,6,43,0.144946,0.030718,
4200,9370,2622.5,0.382492,6,44,0.033556,0.017839,
4180,9390,2622.5,0.857448,2,33,0.122872,0.01922,
4000,9410,2622.5,1.10345,-99,45,0.104517,0.0237,
3980,9430,2622.5,1.4648,-99,42,0.139622,0.034685,
4000,9430,2622.5,1.17682,-99,42,0.110619,0.045719,
4040,9430,2607.5,1.75188,8,45,0.135127,0.020568,
4040,9410,2622.5,1.12812,8,45,0.093075,0.043541,
4020,9430,2622.5,1.03566,8,45,0.089741,0.023967,
4040,9430,2622.5,1.13376,8,45,0.106415,0.028108,
4060,9410,2607.5,1.16245,8,43,0.141831,0.023252,
4080,9410,2607.5,0.663792,7,45,0.065692,0.014506,
4060,9430,2607.5,0.959258,8,45,0.082043,0.008137,
4080,9430,2607.5,0.912047,8,45,0.084869,0.014381,
4060,9410,2622.5,1.00369,8,45,0.1176,0.023255,
4080,9410,2622.5,0.626475,7,45,0.065137,0.016251,
4060,9430,2622.5,1.09946,8,45,0.093544,0.018535,
4080,9430,2622.5,0.714391,8,45,0.080783,0.014163,
4100,9410,2607.5,0.30341,2,32,0.044815,0.008551,
4120,9410,2607.5,0.412128,2,33,0.0442,0.01105,
4100,9430,2607.5,0.622396,7,45,0.073667,0.015815,
4120,9430,2607.5,0.391677,7,44,0.041951,0.013076,
4100,9410,2622.5,0.480991,7,45,0.033443,0.014138,
4120,9410,2622.5,0.410216,6,43,0.095035,0.018485,
4100,9430,2622.5,0.624889,7,45,0.0502,0.012911,
4120,9430,2622.5,0.374407,6,44,0.03374,0.007914,
4140,9410,2607.5,0.556731,6,45,0.066756,0.027928,
4160,9410,2607.5,0.511952,6,45,0.045337,0.012686,
4140,9430,2607.5,0.58299,7,45,0.052262,0.007314,
4160,9430,2607.5,0.483935,8,45,0.033369,0.01571,
4140,9410,2622.5,0.462476,6,43,0.066736,0.011401,
4160,9410,2622.5,0.498554,6,45,0.053821,0.00444,
4140,9430,2622.5,0.679791,8,43,0.097148,0.009022,
4160,9430,2622.5,0.597578,8,45,0.055447,0.008906,
4180,9410,2622.5,0.541912,6,45,0.057671,0.007871,
4180,9430,2622.5,0.692883,7,45,0.044092,0.0103,
3920,9470,2622.5,1.76466,-99,45,0.099049,0.021449,
3960,9450,2607.5,1.04105,-99,45,0.103076,0.058686,
3940,9470,2607.5,1.6806,-99,45,0.11121,0.022254,
3960,9470,2607.5,1.64155,-99,45,0.106019,0.055493,
3940,9450,2622.5,1.59752,-99,45,0.092424,0.03884,
3960,9450,2622.5,1.58651,-99,42,0.10851,0.041176,
3940,9470,2622.5,1.59567,-99,45,0.099032,0.034554,
3960,9470,2622.5,1.33984,-99,45,0.096319,0.026688,
3980,9450,2607.5,1.03548,-99,45,0.116467,0.040677,
4000,9450,2607.5,1.15217,-99,45,0.132123,0.023724,
