xcentre,ycentre,zcentre,cut,zmin,oretype_pnd,meses,cus,mot
4200,9330,2622.500000,0.419167,61,44,dic-15,0.025833,25,
4180,9350,2622.500000,0.721875,61,45,nov-15,0.068750,189,
4200,9350,2622.500000,0.764583,8,42,dic-15,0.047083,21,
4040,9390,2622.500000,1.260000,8,45,nov-15,0.140000,316,
4080,9370,2607.500000,0.460000,7,42,dic-15,0.030000,22,
4060,9390,2607.500000,0.925000,8,45,dic-15,0.088333,131,
4080,9390,2607.500000,0.590000,7,45,dic-15,0.040000,18,
4060,9370,2622.500000,0.515000,7,45,nov-15,0.035000,155,
4080,9370,2622.500000,0.450000,7,45,nov-15,0.030000,126,
4060,9390,2622.500000,0.917500,8,45,nov-15,0.086667,153,
4080,9390,2622.500000,0.530000,7,45,nov-15,0.030000,19,
4100,9370,2607.500000,0.340000,7,42,dic-15,0.020000,23,
4120,9370,2607.500000,0.491667,61,42,dic-15,0.035833,127,
4100,9390,2607.500000,0.513125,7,42,dic-15,0.028125,22,
4120,9390,2607.500000,0.426458,61,44,dic-15,0.020000,95,
4100,9370,2622.500000,0.490000,7,42,nov-15,0.030000,25,
4120,9370,2622.500000,0.571458,7,42,nov-15,0.047917,117,
4100,9390,2622.500000,0.494167,7,42,nov-15,0.038750,20,
4120,9390,2622.500000,0.433750,61,42,nov-15,0.027292,105,
4140,9370,2607.500000,0.620000,8,45,dic-15,0.050000,123,
4160,9370,2607.500000,1.290833,8,43,dic-15,0.169167,139,
4140,9390,2607.500000,0.465833,5,45,dic-15,0.039583,73,
4160,9390,2607.500000,1.052083,8,43,dic-15,0.147917,123,
4140,9370,2622.500000,0.820000,8,42,nov-15,0.060000,127,
4160,9370,2622.500000,1.376250,8,45,nov-15,0.149375,134,
4140,9390,2622.500000,0.565000,5,42,nov-15,0.045000,104,
4160,9390,2622.500000,1.130833,8,45,nov-15,0.127500,103,
4180,9370,2607.500000,0.628125,61,43,dic-15,0.110625,205,
4180,9390,2607.500000,0.510208,61,45,dic-15,0.057917,28,
4180,9370,2622.500000,1.065625,2,33,nov-15,0.230417,10,
4200,9370,2622.500000,1.076250,8,42,dic-15,0.098750,21,
4180,9390,2622.500000,0.899792,2,33,nov-15,0.186458,10,
4000,9410,2622.500000,1.360000,8,45,jun-14,0.120000,316,
3980,9430,2622.500000,1.150000,8,45,jun-14,0.110000,674,
4000,9430,2622.500000,1.430000,8,45,jun-14,0.120000,345,
4040,9430,2607.500000,1.460000,8,45,dic-15,0.150000,316,
4040,9410,2622.500000,1.440000,8,45,nov-15,0.140000,347,
4020,9430,2622.500000,1.370000,8,45,jun-14,0.110000,347,
4040,9430,2622.500000,1.570000,8,45,nov-15,0.130000,359,
4060,9410,2607.500000,1.400000,8,45,dic-15,0.140000,128,
4080,9410,2607.500000,0.830000,8,45,dic-15,0.088750,17,
4060,9430,2607.500000,1.260000,8,42,dic-15,0.120000,138,
4080,9430,2607.500000,0.906250,8,45,dic-15,0.088333,19,
4060,9410,2622.500000,1.230000,8,43,nov-15,0.160000,144,
4080,9410,2622.500000,0.701875,8,45,nov-15,0.068125,19,
4060,9430,2622.500000,1.190000,8,45,nov-15,0.133125,166,
4080,9430,2622.500000,0.735000,8,45,nov-15,0.068542,23,
4100,9410,2607.500000,0.505625,7,42,dic-15,0.033750,17,
4120,9410,2607.500000,0.520000,61,42,dic-15,0.020000,95,
4100,9430,2607.500000,0.537500,7,45,dic-15,0.036250,34,
4120,9430,2607.500000,0.510000,61,42,dic-15,0.020000,66,
4100,9410,2622.500000,0.527500,7,42,nov-15,0.035000,22,
4120,9410,2622.500000,0.440000,61,42,nov-15,0.020000,95,
4100,9430,2622.500000,0.507083,7,45,nov-15,0.039583,23,
4120,9430,2622.500000,0.432500,61,42,nov-15,0.020417,67,
4140,9410,2607.500000,0.373125,5,44,dic-15,0.025625,71,
4160,9410,2607.500000,0.400208,5,44,dic-15,0.032708,115,
4140,9430,2607.500000,0.448333,61,44,dic-15,0.022083,91,
4160,9430,2607.500000,0.326250,5,44,dic-15,0.029583,124,
4140,9410,2622.500000,0.322500,5,44,nov-15,0.027500,97,
4160,9410,2622.500000,0.520625,5,45,nov-15,0.039375,33,
4140,9430,2622.500000,0.442500,61,44,nov-15,0.022500,71,
4160,9430,2622.500000,0.506458,5,45,nov-15,0.040833,43,
4180,9410,2622.500000,0.765000,61,45,nov-15,0.061250,28,
4180,9430,2622.500000,0.789167,8,45,nov-15,0.086042,22,
3920,9470,2622.500000,1.510000,8,45,jul-14,0.090000,390,
3960,9450,2607.500000,1.410000,8,45,jul-14,0.100000,661,
3940,9470,2607.500000,1.530000,8,45,jul-14,0.080000,354,
3960,9470,2607.500000,1.500000,8,45,jul-14,0.110000,623,
3940,9450,2622.500000,1.530000,8,45,jun-14,0.110000,477,
3960,9450,2622.500000,1.320000,8,45,jun-14,0.100000,738,
3940,9470,2622.500000,1.500000,8,45,jun-14,0.100000,417,
3960,9470,2622.500000,1.400000,8,45,may-14,0.110000,680,
3980,9450,2607.500000,1.450000,8,45,jul-14,0.100000,657,
4000,9450,2607.500000,1.480000,8,45,jul-14,0.120000,411,
3980,9470,2607.500000,1.480000,8,45,jul-14,0.110000,629,
4000,9470,2607.500000,1.320000,8,45,jul-14,0.100000,420,
3980,9450,2622.500000,1.270000,8,45,jun-14,0.100000,496,
4000,9450,2622.500000,1.420000,8,45,may-14,0.110000,312,
3980,9470,2622.500000,1.370000,8,45,may-14,0.090000,629,
4000,9470,2622.500000,1.180000,8,45,may-14,0.100000,312,
4020,9450,2607.500000,1.370000,8,45,dic-15,0.110000,350,
4040,9450,2607.500000,1.470000,8,45,dic-15,0.140000,335,
4020,9470,2607.500000,1.250000,8,45,jul-14,0.100000,367,
4040,9470,2607.500000,1.350000,8,45,jul-14,0.110000,282,
4020,9450,2622.500000,1.450000,8,45,jun-14,0.110000,358,
4040,9450,2622.500000,1.480000,8,45,nov-15,0.130000,349,
4020,9470,2622.500000,1.260000,8,45,may-14,0.100000,346,
4040,9470,2622.500000,1.360000,8,45,jun-14,0.110000,323,
4060,9450,2607.500000,1.210000,8,45,dic-15,0.088125,156,
4080,9450,2607.500000,0.786875,7,45,dic-15,0.055625,30,
4060,9470,2607.500000,1.278125,8,45,nov-15,0.090625,134,
4080,9470,2607.500000,0.620000,7,45,dic-15,0.040000,33,
4060,9450,2622.500000,1.202500,8,45,nov-15,0.104167,185,
4080,9450,2622.500000,0.717500,7,45,nov-15,0.047500,32,
4060,9470,2622.500000,1.292500,8,45,nov-15,0.111250,182,
4080,9470,2622.500000,0.617500,7,45,nov-15,0.040625,33,
4100,9450,2607.500000,0.640000,7,45,dic-15,0.040000,86,
4120,9450,2607.500000,0.518750,61,42,dic-15,0.022917,75,
4100,9470,2607.500000,0.530000,7,45,dic-15,0.040000,112,
4120,9470,2607.500000,0.485000,7,45,dic-15,0.026875,89,
4100,9450,2622.500000,0.560000,7,42,nov-15,0.040000,117,
4120,9450,2622.500000,0.475000,7,42,nov-15,0.030000,106,
4100,9470,2622.500000,0.510000,7,42,nov-15,0.040000,130,
4120,9470,2622.500000,0.499792,7,45,nov-15,0.029792,119,
4140,9450,2607.500000,0.440000,61,44,dic-15,0.020000,75,
4160,9450,2607.500000,0.505000,8,45,dic-15,0.052500,98,
4140,9470,2607.500000,0.496250,61,45,dic-15,0.027917,132,
4140,9450,2622.500000,0.450000,61,45,nov-15,0.020000,112,
4160,9450,2622.500000,0.523958,8,45,nov-15,0.056875,114,
4140,9470,2622.500000,0.531250,7,45,nov-15,0.033125,100,
4160,9470,2622.500000,0.555833,8,45,nov-15,0.047083,99,
3920,9510,2607.500000,1.178750,8,45,sept-14,0.057500,167,
3900,9490,2622.500000,0.864792,8,42,jul-14,0.056458,248,
3920,9490,2622.500000,1.520000,8,45,jul-14,0.080000,274,
3900,9510,2622.500000,0.448333,61,42,jul-14,0.020625,248,
3920,9510,2622.500000,1.366250,8,45,jul-14,0.072500,214,
3940,9490,2607.500000,1.650000,8,45,jul-14,0.070000,208,
3960,9490,2607.500000,1.580000,8,45,jul-14,0.090000,523,
3940,9510,2607.500000,1.820000,8,45,jul-14,0.040000,257,
3960,9510,2607.500000,1.420000,8,45,jul-14,0.070000,421,
3940,9490,2622.500000,1.670000,8,45,may-14,0.070000,213,
3960,9490,2622.500000,1.420000,8,45,may-14,0.090000,557,
3940,9510,2622.500000,1.780000,8,45,may-14,0.060000,264,
3960,9510,2622.500000,1.610000,8,45,may-14,0.080000,469,
3980,9490,2607.500000,1.300000,8,45,jul-14,0.080000,497,
4000,9490,2607.500000,1.170000,8,45,jul-14,0.090000,281,
3980,9510,2607.500000,1.410000,8,45,jul-14,0.090000,407,
4000,9510,2607.500000,1.100000,8,45,jul-14,0.090000,257,
3980,9490,2622.500000,1.240000,8,45,may-14,0.090000,340,
4000,9490,2622.500000,1.220000,8,45,may-14,0.100000,396,
3980,9510,2622.500000,1.460000,8,45,may-14,0.080000,264,
4000,9510,2622.500000,1.070000,8,45,may-14,0.080000,246,
4020,9490,2607.500000,1.100000,8,45,jul-14,0.090000,302,
