xcentre,ycentre,zcentre,cut_gc,zmin_gc,oretype_gc,cus_gc,mot_gc
4160,9390,2607.500000,0.877518,6,43,0.148977,121,
4140,9370,2622.500000,0.478660,7,43,0.078955,112,
4160,9370,2622.500000,0.676109,7,43,0.096732,148,
4140,9390,2622.500000,0.390150,7,43,0.140152,62,
4160,9390,2622.500000,0.739218,7,43,0.118300,120,
4180,9370,2607.500000,0.561216,2,33,0.107991,181,
4180,9390,2607.500000,1.338788,2,33,0.188482,279,
4180,9370,2622.500000,0.759081,6,43,0.144946,307,
4200,9370,2622.500000,0.382492,6,44,0.033556,178,
4180,9390,2622.500000,0.857448,2,33,0.122872,192,
4000,9410,2622.500000,1.103449,-99,45,0.104517,237,
3980,9430,2622.500000,1.464803,-99,42,0.139622,346,
4000,9430,2622.500000,1.176818,-99,42,0.110619,457,
4040,9430,2607.500000,1.751883,8,45,0.135127,205,
4040,9410,2622.500000,1.128122,8,45,0.093075,435,
4020,9430,2622.500000,1.035658,8,45,0.089741,239,
4040,9430,2622.500000,1.133761,8,45,0.106415,281,
4060,9410,2607.500000,1.162454,8,43,0.141831,232,
4080,9410,2607.500000,0.663792,7,45,0.065692,145,
4060,9430,2607.500000,0.959258,8,45,0.082043,81,
4080,9430,2607.500000,0.912047,8,45,0.084869,143,
4060,9410,2622.500000,1.003686,8,45,0.117600,232,
4080,9410,2622.500000,0.626475,7,45,0.065137,162,
4060,9430,2622.500000,1.099463,8,45,0.093544,185,
4080,9430,2622.500000,0.714391,8,45,0.080783,141,
4100,9410,2607.500000,0.303410,2,32,0.044815,85,
4120,9410,2607.500000,0.412128,2,33,0.044200,110,
4100,9430,2607.500000,0.622396,7,45,0.073667,158,
4120,9430,2607.500000,0.391677,7,44,0.041951,130,
4100,9410,2622.500000,0.480991,7,45,0.033443,141,
4120,9410,2622.500000,0.410216,6,43,0.095035,184,
4100,9430,2622.500000,0.624889,7,45,0.050200,129,
4120,9430,2622.500000,0.374407,6,44,0.033740,79,
4140,9410,2607.500000,0.556731,6,45,0.066756,279,
4160,9410,2607.500000,0.511952,6,45,0.045337,126,
4140,9430,2607.500000,0.582990,7,45,0.052262,73,
4160,9430,2607.500000,0.483935,8,45,0.033369,157,
4140,9410,2622.500000,0.462476,6,43,0.066736,114,
4160,9410,2622.500000,0.498554,6,45,0.053821,44,
4140,9430,2622.500000,0.679791,8,43,0.097148,90,
4160,9430,2622.500000,0.597578,8,45,0.055447,89,
4180,9410,2622.500000,0.541912,6,45,0.057671,78,
4180,9430,2622.500000,0.692883,7,45,0.044092,103,
3920,9470,2622.500000,1.764656,-99,45,0.099049,214,
3960,9450,2607.500000,1.041046,-99,45,0.103076,586,
3940,9470,2607.500000,1.680599,-99,45,0.111210,222,
3960,9470,2607.500000,1.641552,-99,45,0.106019,554,
3940,9450,2622.500000,1.597518,-99,45,0.092424,388,
3960,9450,2622.500000,1.586508,-99,42,0.108510,411,
3940,9470,2622.500000,1.595673,-99,45,0.099032,345,
3960,9470,2622.500000,1.339835,-99,45,0.096319,266,
3980,9450,2607.500000,1.035480,-99,45,0.116467,406,
4000,9450,2607.500000,1.152167,-99,45,0.132123,237,
3980,9470,2607.500000,1.253481,-99,45,0.098642,427,
4000,9470,2607.500000,1.125023,-99,45,0.086384,345,
3980,9450,2622.500000,1.650788,-99,42,0.142748,398,
4000,9450,2622.500000,1.562198,-99,42,0.161585,425,
3980,9470,2622.500000,1.242286,-99,45,0.105344,458,
4000,9470,2622.500000,1.136911,-99,45,0.124292,516,
4020,9450,2607.500000,1.001793,-99,45,0.080773,299,
4040,9450,2607.500000,1.703600,8,45,0.128586,306,
4020,9470,2607.500000,1.029353,-99,33,0.086871,248,
4040,9470,2607.500000,1.227375,8,45,0.102454,218,
4020,9450,2622.500000,0.977325,8,45,0.068805,234,
4040,9450,2622.500000,1.122314,8,45,0.108641,281,
4020,9470,2622.500000,0.724425,-99,45,0.077833,352,
4040,9470,2622.500000,1.167258,8,45,0.079270,181,
4060,9450,2607.500000,0.899406,8,45,0.084425,95,
4080,9450,2607.500000,0.819693,8,45,0.065617,208,
4060,9470,2607.500000,1.103755,8,45,0.106219,116,
4080,9470,2607.500000,1.240745,100,45,0.102835,162,
4060,9450,2622.500000,1.243500,8,45,0.121732,189,
4080,9450,2622.500000,0.621152,8,45,0.053410,117,
4060,9470,2622.500000,1.509258,8,45,0.130094,210,
4080,9470,2622.500000,0.793609,8,45,0.065865,111,
4100,9450,2607.500000,0.579637,7,45,0.039933,188,
4120,9450,2607.500000,0.734929,7,45,0.052008,68,
4100,9470,2607.500000,0.645010,7,45,0.054260,46,
4120,9470,2607.500000,0.582219,7,45,0.045377,53,
4100,9450,2622.500000,0.590646,100,45,0.052579,79,
4120,9450,2622.500000,0.445554,8,44,0.049972,82,
4100,9470,2622.500000,0.558986,100,45,0.045652,146,
4120,9470,2622.500000,0.661740,7,45,0.048614,209,
4140,9450,2607.500000,0.558281,7,45,0.045012,95,
4160,9450,2607.500000,0.488921,7,45,0.033220,67,
4140,9470,2607.500000,0.443456,7,44,0.032071,67,
4140,9450,2622.500000,0.495022,8,45,0.031320,190,
4160,9450,2622.500000,0.750690,8,45,0.073713,65,
4140,9470,2622.500000,0.380490,7,44,0.024557,189,
4160,9470,2622.500000,0.517813,8,45,0.045868,38,
3920,9510,2607.500000,1.163878,-99,42,0.065078,149,
3900,9490,2622.500000,1.318408,-99,42,0.120634,393,
3920,9490,2622.500000,1.472858,-99,45,0.087280,161,
3900,9510,2622.500000,0.663375,-99,42,0.063672,151,
3920,9510,2622.500000,1.234077,-99,45,0.085208,106,
3940,9490,2607.500000,1.781835,-99,45,0.082226,149,
3960,9490,2607.500000,1.371754,-99,45,0.074093,290,
3940,9510,2607.500000,1.645917,-99,45,0.089924,221,
3960,9510,2607.500000,1.633381,-99,45,0.127904,221,
3940,9490,2622.500000,1.452960,-99,45,0.105973,90,
3960,9490,2622.500000,1.477617,-99,45,0.110315,221,
3940,9510,2622.500000,1.434501,-99,45,0.089546,84,
3960,9510,2622.500000,1.454175,-99,45,0.112440,173,
3980,9490,2607.500000,1.205211,-99,45,0.073810,399,
4000,9490,2607.500000,1.807945,-99,45,0.108815,487,
3980,9510,2607.500000,1.143779,-99,45,0.085183,199,
4000,9510,2607.500000,0.990476,-99,45,0.063006,539,
3980,9490,2622.500000,0.950064,-99,45,0.072348,659,
4000,9490,2622.500000,1.317307,-99,45,0.099677,492,
3980,9510,2622.500000,1.303823,-99,45,0.112470,309,
