xcentre,ycentre,zcentre,mot_gc,zmin_gc,zmint,oretype_gc,cut_gc,dens,cus_gc,oretypet
4000,9510,2622.500000,530,-99,NULL,45,1.325214,2.600000,0.092054,SCHAL,
4020,9490,2607.500000,463,-99,NULL,33,1.033707,2.600000,0.108129,MXAL,
4040,9490,2607.500000,232,-99,NULL,45,0.918762,2.600000,0.099508,SCHAL,
4020,9510,2607.500000,596,-99,NULL,45,1.010892,2.600000,0.084851,SCHAL,
4040,9510,2607.500000,334,-99,NULL,45,1.085045,2.600000,0.102502,SCHAL,
4020,9490,2622.500000,330,-99,NULL,45,0.799629,2.600000,0.091901,SCHAL,
4040,9490,2622.500000,183,-99,NULL,45,1.147157,2.600000,0.110141,SCHAL,
4020,9510,2622.500000,451,-99,NULL,45,0.780686,2.600000,0.064028,SCHAL,
4040,9510,2622.500000,230,-99,NULL,45,1.207987,2.600000,0.124641,SCHAL,
4060,9490,2607.500000,100,8,SSF,43,1.290003,2.600000,0.157944,SASOL,
4080,9490,2607.500000,102,100,NULL,43,1.238040,2.600000,0.186753,SASOL,
4060,9510,2607.500000,198,8,SSF,43,0.925333,2.600000,0.144939,SASOL,
4080,9510,2607.500000,69,8,SSF,43,0.852767,2.600000,0.213520,SASOL,
4060,9490,2622.500000,198,8,SSF,45,1.511744,2.600000,0.128437,SCHAL,
4080,9490,2622.500000,112,8,SSF,45,1.237604,2.600000,0.099464,SCHAL,
4060,9510,2622.500000,162,-99,NULL,43,0.814744,2.600000,0.113759,SASOL,
4080,9510,2622.500000,109,8,SSF,43,0.704357,2.600000,0.096090,SASOL,
4100,9490,2607.500000,115,8,SSF,45,0.831999,2.600000,0.073416,SCHAL,
4120,9490,2607.500000,93,6,SCHAL,4,0.431424,2.600000,0.028460,SCHBL,
4100,9510,2607.500000,44,2,MIX,33,0.714638,2.600000,0.199491,MXAL,
4120,9510,2607.500000,96,6,MXAL,5,0.494272,2.600000,0.039101,SCHAL,
4100,9490,2622.500000,883,8,SSF,43,0.710264,2.600000,0.100753,SASOL,
4120,9490,2622.500000,262,7,SSD,45,0.479346,2.600000,0.035429,SCHAL,
4100,9510,2622.500000,403,2,MIX,33,0.775050,2.600000,0.237819,MXAL,
4120,9510,2622.500000,192,7,SSD,45,0.774394,2.600000,0.071016,SCHAL,
4140,9490,2607.500000,61,6,SCHAL,5,0.461885,2.600000,0.026579,SCHAL,
