xcentre,ycentre,zcentre,mot_gc,zmin_gc,zmint,oretype_gc,cut_gc,dens,cus_gc,oretypet
4020,9610,2592.5,0.05529,-99,NULL,45,1.241503,2.6,0.077628,SCHAL
4040,9610,2592.5,0.003092,-99,NULL,45,0.459352,2.6,0.025456,SCHAL
3960,9650,2592.5,0.020367,-99,NULL,45,0.629246,2.6,0.041075,SCHAL
3980,9650,2577.5,0.021544,-99,NULL,45,0.580951,2.6,0.043912,SCHAL
3980,9650,2592.5,0.022327,-99,NULL,45,0.654933,2.6,0.041088,SCHAL
4000,9650,2592.5,0.019489,-99,NULL,44,0.441277,2.6,0.039844,SCHBL
3980,9670,2592.5,0.014134,-99,NULL,45,0.667231,2.6,0.049001,SCHAL
4060,9350,2622.5,0.009966,8,SSF,45,0.605505,2.6,0.043104,SCHAL
4080,9350,2622.5,0.01294,6,,45,0.494488,2.6,0.032336,SCHAL
4100,9350,2607.5,0.020377,8,SSF,43,0.334235,2.6,0.063242,SASOL
4120,9350,2607.5,0.017842,7,SSD,44,0.388722,2.6,0.031741,SCHBL
4100,9330,2622.5,0.011383,6,,45,0.472239,2.6,0.030345,SCHAL
4120,9330,2622.5,0.015361,7,SSD,45,0.517362,2.6,0.038405,SCHAL
4100,9350,2622.5,0.01365,6,,45,0.555328,2.6,0.041959,SCHAL
4120,9350,2622.5,0.026502,7,SSD,45,0.546163,2.6,0.029104,SCHAL
4160,9330,2607.5,0.056937,6,,45,0.512363,2.6,0.016615,SCHAL
4140,9350,2607.5,0.024691,8,SSF,45,0.550672,2.6,0.034901,SCHAL
4160,9350,2607.5,0.030588,6,,45,0.665806,2.6,0.033163,SCHAL
4140,9330,2622.5,0.017977,6,,45,0.475227,2.6,0.043607,SCHAL
4160,9330,2622.5,0.032677,6,,45,0.469877,2.6,0.025178,SCHAL
4140,9350,2622.5,0.022465,7,SSD,45,0.537142,2.6,0.031412,SCHAL
4160,9350,2622.5,0.010701,7,SSD,45,0.547067,2.6,0.036119,SCHAL
4180,9330,2607.5,0.007343,6,,41,0.276212,2.6,0.00979,SBL
4180,9350,2607.5,0.003863,6,,44,0.310108,2.6,0.013019,SCHBL
4180,9330,2622.5,0.009215,6,,44,0.331489,2.6,0.019351,SCHBL
4200,9330,2622.5,0.002817,6,,41,0.281586,2.6,0.021519,SBL
4180,9350,2622.5,0.007269,6,,45,0.556333,2.6,0.038668,SCHAL
4200,9350,2622.5,0.002251,6,,44,0.339252,2.6,0.016722,SCHBL
